time,open,high,low,close
2022-04-13,40090.95,41556.94,39590.38,41144.7
2022-04-14,41149.44,41498.15,39580.03,39953.82
2022-04-15,39957.1,40862.57,39788.77,40563.6
2022-04-16,40565.32,40700.29,40018.25,40389.5
2022-04-17,40384.85,40595.06,39563.54,39687.65
2022-04-18,39674.59,41087.55,38556.58,40809.49
2022-04-19,40810.1,41780.46,40586.14,41503.85
2022-04-20,41496.42,42218.37,40905.63,41375.16
2022-04-21,41375.89,42974.36,39777.82,40481.15
2022-04-22,40486.74,40794.93,39194.31,39719.22
2022-04-23,39711.92,39980.17,39305.35,39440.84
2022-04-24,39448.61,39933.62,38995.74,39465.69
2022-04-25,39460.95,40605.66,38211.01,40440.55
2022-04-26,40444.29,40794.43,37694.86,38123.48
2022-04-27,38117.16,39465.98,37893.12,39252.85
2022-04-28,39252.42,40376.47,38867.75,39748.89
2022-04-29,39748.42,39920.26,38156.71,38592.08
2022-04-30,38595.69,38789.62,37596.21,37648.79
2022-05-01,37644.98,38665.92,37403.24,38479.3
2022-05-02,38475.51,39161.83,38037.35,38511.75
2022-05-03,38507.81,38637.84,37515.93,37725.77
2022-05-04,37728.01,40032.42,37664.88,39680.04
2022-05-05,39678.74,39832.88,35538.6,36541.63
2022-05-06,36540.54,36652.28,35264.49,36010.24
2022-05-07,36010.16,36116.45,34779.46,35461.25
2022-05-08,35462.2,35497.62,33708.62,34027.56
2022-05-09,34035.88,34225.88,30027.24,30076.35
2022-05-10,30067.43,32638.87,29741.87,31001.31
2022-05-11,31004.06,32150.74,27715.67,28991.23
2022-05-12,28993.17,30092.28,25365.62,28928.01
2022-05-13,28937,30975.61,28683.22,29234
2022-05-14,29237.6,30280.22,28578.66,29874.84
2022-05-15,30046.96,31405.52,29444.3,31293.29
2022-05-16,31287.47,31288.29,29061.24,29832.75
2022-05-17,29838.75,30745.25,29411.65,30414.61
2022-05-18,30414.26,30667.54,28602.82,28672.03
2022-05-19,28667.77,30502.21,28654.51,30283.19
2022-05-20,30278.32,30727.4,28696.54,29166.42
2022-05-21,29168.29,29611.59,28919.32,29410.96
2022-05-22,29400.27,30459.38,29214.78,30264.11
2022-05-23,30260.6,30630.21,28841.88,29075.93
2022-05-24,29077.88,29811.2,28632.46,29630.68
2022-05-25,29627.35,30184.03,29308.62,29511.36
2022-05-26,29511.88,29851.26,27939.02,29175.27
2022-05-27,29169.81,29361.07,28251.13,28586.94
2022-05-28,28596.1,29231.76,28500.48,29013.09
2022-05-29,29013.88,29552.99,28815.2,29449.54
2022-05-30,29451.01,32199.46,29282.76,31719.73
2022-05-31,31706.31,32384.54,31202.17,31775.89
2022-06-01,31781.64,31951.03,29313.75,29787.13
2022-06-02,29789.19,30857.57,29571.43,30433.5
2022-06-03,30433.56,30668.52,29239.09,29673.24
2022-06-04,29678.33,29952.22,29454.37,29845.93
2022-06-05,29839.87,30149.96,29513.87,29899.4
2022-06-06,29902.42,31737.04,29871.22,31351.91
2022-06-07,31350.82,31547.6,29198.7,31107.6
2022-06-08,31104.91,31303.34,29837.64,30185.45
2022-06-09,30187.24,30669.94,29911.67,30080.69
2022-06-10,30078.77,30357.26,28833.25,29061.48
